cell_id,original_length,used_length,is_truncated,sampling_method,voltage_mean,voltage_std,voltage_min,voltage_max,time_diff_mean,time_diff_std,time_diff_min,time_diff_max,label,value,group_name,tlstm_ae_main_0,tlstm_ae_main_1,tlstm_ae_main_2,tlstm_ae_main_3,tlstm_ae_main_4,tlstm_ae_main_5,tlstm_ae_main_6,tlstm_ae_main_7,tlstm_ae_main_8,tlstm_ae_main_9,tlstm_ae_main_10,tlstm_ae_main_11,tlstm_ae_main_12,tlstm_ae_main_13,tlstm_ae_main_14,tlstm_ae_main_15,tlstm_ae_main_16,tlstm_ae_main_17,tlstm_ae_main_18,tlstm_ae_main_19,tlstm_ae_main_20,tlstm_ae_main_21,tlstm_ae_main_22,tlstm_ae_main_23,tlstm_ae_main_24,tlstm_ae_main_25,tlstm_ae_main_26,tlstm_ae_main_27,tlstm_ae_main_28,tlstm_ae_main_29,tlstm_ae_main_30,tlstm_ae_main_31
b1c0,329,10,TRUE,random_sampling,3.221770885410334,0.38849357072180524,2.0210972,3.5344048,0.04086695035460669,0.03897034680404254,0.001,0.0834916666669141,TRUE,1850,G1,0.5457714,-0.8400217,-0.1186383,-0.48451656,0.8048622,0.64416695,-0.8278822,0.31799465,0.10124985,0.0346345,-0.39855674,-0.69956386,0.42420623,0.28560594,-0.11256288,0.7365998,-0.15978804,-0.81569076,0.5866079,0.18835054,-0.25951082,0.35080484,-0.19676429,0.012331615,0.534089,0.5879818,-0.2808671,0.3115436,-0.82576185,-0.9530244,-0.16155809,0.54921865
b1c1,314,10,TRUE,random_sampling,3.2191033601910823,0.39624293647525227,2.0190544,3.5355883,0.04276789278131986,0.03892205163363371,0.001,0.08349166666691121,TRUE,2158,G1,0.4603195,-0.58805263,-0.16435312,-0.15660991,0.19478303,0.51558864,-0.67794055,0.21534956,0.17493655,-0.012025872,-0.18125783,-0.4027202,0.3653631,0.17853436,-0.045182783,0.73736256,-0.24203795,-0.3130552,0.4340753,0.20054224,0.19088295,0.42307106,-0.16620155,-0.048078455,0.261382,0.36456826,0.104279585,0.38630578,-0.73968637,-0.767178,-0.10161607,0.45515594
b1c10,308,10,TRUE,random_sampling,3.2338615711038963,0.39839498923734656,2.0177746,3.5320683,0.0384091504329001,0.03915894179150653,0.001,0.08437999999975432,TRUE,904,G1,0.47454607,-0.7051847,-0.1767068,-0.25269496,0.7611872,0.37124565,-0.7682108,0.14357656,-0.04590071,-0.052275226,-0.3414758,-0.6661931,0.37266555,0.33234212,-0.071535416,0.13078795,-0.14284632,-0.6556159,0.5314716,0.081550606,-0.016289655,0.29547945,-0.34380454,-0.103167266,0.3142853,-0.64570415,0.05010486,0.23641053,-0.8031415,-0.92522097,-0.22953717,0.5396732
b1c11,299,10,TRUE,random_sampling,3.2339436454849495,0.3954172070159731,2.0209789,3.5321016,0.03927001114828085,0.039226435335318645,0.001,0.08447000000014704,TRUE,786,G1,0.4287054,-0.42014658,-0.16932777,-0.029656328,0.060718965,0.18690458,-0.55207837,0.08591369,0.076745786,-0.06228684,-0.09876095,-0.39884704,0.29666802,0.1410394,0.10895039,0.4075909,-0.24443112,-0.21034755,0.34384045,0.123221934,0.104885675,0.3682833,-0.25140238,-0.121334605,0.014512296,-0.20203657,0.089588895,0.29508662,-0.6900033,-0.54516286,-0.18610863,0.39404705
b1c12,278,10,TRUE,random_sampling,3.2161425147482015,0.4161498880118959,2.0174451,3.532372,0.03889202038368802,0.03901681189610568,0.001,0.08447166666689121,TRUE,900,G1,0.24569216,-0.904287,0.5623287,-0.92052543,0.9718444,0.25428352,-0.90618795,0.3354434,-0.42040226,0.40263036,-0.84822357,-0.47046036,0.19082505,0.47618318,-0.014440192,-0.67664903,-0.06372927,-0.9640246,-0.8737997,0.14395039,-0.5695366,0.11054952,0.50261736,0.8668537,0.5132856,-0.52118385,-0.8739762,0.040769834,-0.7000928,-0.99179703,-0.098192416,0.52117944
b1c13,294,10,TRUE,random_sampling,3.233008569727891,0.4101615661351383,2.0174918,3.5397878,0.03654642857142751,0.038864414518832976,0.001,0.08446999999965854,TRUE,895,G1,0.43093625,-0.5978703,-0.17969514,-0.10647859,-0.23172668,0.34492695,-0.7266677,0.02122852,0.09571991,-0.09660829,-0.10160818,-0.30142128,0.34100634,0.06412549,0.011394581,0.71078086,-0.2400304,-0.43394685,0.3763781,0.12491449,-0.080272876,0.4378275,-0.2206514,-0.107168235,0.061983693,0.58381104,0.012732612,0.33411217,-0.7025928,-0.8433383,-0.12961566,0.419544
b1c14,288,10,TRUE,random_sampling,3.2110628520833333,0.4257301960520655,2.0177941,3.5605063,0.03767655671296125,0.03890762774441835,0.001,0.08437666666625887,TRUE,878,G1,0.51044303,-0.7892899,-0.18081091,-0.36948672,0.82866776,0.5301834,-0.81408024,0.33011633,0.041166972,0.015159932,-0.4004053,-0.7058626,0.40348473,0.36273456,-0.087454796,0.6038587,-0.12624645,-0.8109517,0.6369802,0.10423617,-0.023267565,0.28002772,-0.30698758,-0.030910648,0.5238035,-0.44012436,-0.10151192,0.24358377,-0.8258775,-0.9566483,-0.20109795,0.547133
b1c15,287,10,TRUE,random_sampling,3.2355065212543557,0.4046054313234014,2.0238752,3.5588789,0.03780550522647318,0.038962909768108914,0.001,0.08447166666689299,TRUE,717,G1,0.23496,-0.84556866,0.55649537,-0.9020663,0.9630813,0.22461037,-0.8989002,0.38174176,-0.41890797,0.2933447,-0.8393413,-0.4648609,0.07737017,0.4813823,-0.01777356,-0.37738195,-0.058484916,-0.94666857,-0.83656037,0.11639256,-0.49428782,0.10650383,0.56757253,0.86215675,0.52563643,-0.8552142,-0.8520777,0.04408981,-0.7055854,-0.98915553,-0.10928864,0.5043006
b1c16,271,10,TRUE,random_sampling,3.2197833590405907,0.4184610336652004,2.0166383,3.5611691,0.037542127921280956,0.03875951612474096,0.001,0.08443000000018763,TRUE,860,G1,0.5834211,-0.8959903,-0.19599344,-0.6505764,0.86978066,0.65888244,-0.8690505,0.2773297,0.08624692,0.22537377,-0.5068429,-0.69300884,0.5116296,0.3622377,-0.06652856,0.8357733,-0.117635794,-0.8506823,0.7234458,0.13597521,-0.32948852,0.34020182,-0.20810308,0.07147353,0.53277206,0.8431664,-0.7234155,0.24543269,-0.8371186,-0.98047423,-0.08691396,0.5428745
b1c17,275,10,TRUE,random_sampling,3.214276189090909,0.428949165342168,2.0185461,3.5618248,0.03730679393938788,0.03881439044568532,0.001,0.08441999999971195,TRUE,855,G1,0.42006102,-0.9337022,0.7439625,-0.91683096,0.97800744,0.28507516,-0.8823732,0.52866906,-0.28822756,0.56350106,-0.8203372,-0.60951596,0.60779464,0.6300789,-0.014614291,-0.76515764,-0.07039221,-0.9705777,-0.47018477,0.2207033,-0.5523893,0.07563945,0.57297385,0.85698897,0.43342617,-0.97193986,-0.8885356,0.054457564,-0.7886766,-0.99497026,-0.06758517,0.6068339
