cell_id,original_length,used_length,is_truncated,sampling_method,voltage_mean,voltage_std,voltage_min,voltage_max,time_diff_mean,time_diff_std,time_diff_min,time_diff_max,label,value,group_name,tlstm_ae_main_0,tlstm_ae_main_1,tlstm_ae_main_2,tlstm_ae_main_3,tlstm_ae_main_4,tlstm_ae_main_5,tlstm_ae_main_6,tlstm_ae_main_7,tlstm_ae_main_8,tlstm_ae_main_9,tlstm_ae_main_10,tlstm_ae_main_11,tlstm_ae_main_12,tlstm_ae_main_13,tlstm_ae_main_14,tlstm_ae_main_15,tlstm_ae_main_16,tlstm_ae_main_17,tlstm_ae_main_18,tlstm_ae_main_19,tlstm_ae_main_20,tlstm_ae_main_21,tlstm_ae_main_22,tlstm_ae_main_23,tlstm_ae_main_24,tlstm_ae_main_25,tlstm_ae_main_26,tlstm_ae_main_27,tlstm_ae_main_28,tlstm_ae_main_29,tlstm_ae_main_30,tlstm_ae_main_31
b1c0,330,10,TRUE,random_sampling,2.924290790909091,0.3501807977522117,2.0041113,3.4750528,0.04403968686869561,0.03803310947317796,0.001,0.08350666666665951,TRUE,1850,G1,0.36322197,-0.09366009,-0.88927656,0.9848111,0.4810002,0.55865055,-0.876416,0.53923947,0.46213707,0.413124,0.1103084,0.97714585,0.22742052,-0.22205813,0.7148484,0.7375628,-0.550682,0.8686474,0.81996083,0.3777427,0.9951857,-0.93996197,0.14637446,-0.31162572,-0.38796073,-0.11692692,0.23083155,0.5950738,0.79748446,-0.74544966,0.30004707,0.5969912
b1c1,337,10,TRUE,random_sampling,2.9257934192878334,0.34586147676725526,2.000495,3.4750376,0.04338502472799626,0.038119936328281805,0.001,0.08353166666638145,TRUE,2158,G1,0.19975953,0.06437098,-0.713066,0.97418034,0.52939415,0.53068894,-0.8622167,0.6335114,0.5880997,0.5585307,0.13328792,0.9717364,0.3159491,-0.29091233,0.76057255,0.6219933,-0.29750645,0.85142577,0.80888385,0.36327666,0.9907886,-0.9163911,0.16053398,-0.39214596,0.06607512,0.5532195,0.21854743,0.6621886,0.73791224,-0.68688315,0.22048251,0.50699705
b1c10,338,10,TRUE,random_sampling,2.9203316352071003,0.3496316315804221,2.0026379,3.4729156,0.04317232248520636,0.03810586255875347,0.001,0.08350666666665063,TRUE,904,G1,-0.24774937,0.31665963,-0.5042557,0.8982704,0.4448297,0.3339385,-0.7556019,0.61227447,0.707714,0.5628871,0.1871152,0.9263553,0.4608643,-0.15702604,0.7093744,0.47219634,-0.05326303,0.7658584,0.77705,0.23934825,0.9526776,-0.8684106,0.23183204,-0.5464511,0.31388158,0.51750207,0.3097952,0.6991678,0.7029175,-0.5545279,0.2158295,0.34914878
b1c11,338,10,TRUE,random_sampling,2.9255299183431953,0.34504403378803566,2.0101528,3.4889135,0.04222131163708401,0.03819155830840753,0.001,0.08351166666640353,TRUE,786,G1,-0.25016606,0.16821876,-0.5802744,0.94491297,0.44446477,0.49292466,-0.83725303,0.56655246,0.71346366,0.5836453,0.13267341,0.95524377,0.565546,-0.1442965,0.71513975,0.5451462,-0.10499658,0.7867966,0.8093486,0.025736928,0.97295976,-0.88099086,0.13002834,-0.38940796,0.08619553,-0.08763245,0.3281997,0.70168144,0.730274,-0.5353456,0.29071546,0.41492274
b1c12,339,10,TRUE,random_sampling,2.929044815339233,0.35122614872494956,2.0021338,3.4908681,0.04310699115044123,0.038023265704699945,0.001,0.08354833333336131,TRUE,900,G1,-0.22973359,-0.01138495,-0.81450963,0.9714125,0.34795988,-0.022533145,-0.90625423,0.57506347,0.66097194,0.5757456,0.1478843,0.9724224,0.46529263,-0.1770256,0.5368682,0.58142245,-0.26291195,0.7580149,0.77764535,-0.44679177,0.9844238,-0.89019066,0.15918066,-0.4204662,-0.49023694,-0.85351914,0.30057418,0.62083244,0.7919996,-0.709961,0.33982527,0.434998
b1c13,339,10,TRUE,random_sampling,2.920877039233038,0.3474229205176968,2.0063272,3.4808478,0.04318581120944491,0.03797978696687273,0.001,0.0835349999998769,TRUE,895,G1,0.42742217,0.08628894,-0.6965453,0.9722229,0.5645434,0.5533095,-0.79235137,0.65061784,0.532681,0.55181044,0.13343175,0.94848895,0.25097495,-0.26470953,0.75780517,0.6429687,-0.29240882,0.8593845,0.8059557,0.7176361,0.99193144,-0.91984123,0.17431863,-0.39010513,0.2083007,0.9188804,0.1981418,0.6649434,0.7200139,-0.67167556,0.1750463,0.5302887
b1c14,343,10,TRUE,random_sampling,2.9200229816326533,0.3456559523719725,2.001699,3.4720769,0.04232658406219312,0.03809518186455782,0.001,0.08353333333361235,TRUE,878,G1,-0.27621472,0.10100309,-0.7594049,0.9592318,0.3497698,0.14460231,-0.8857658,0.5851147,0.7007365,0.5699082,0.1556874,0.96598685,0.49255654,-0.15469156,0.6631148,0.5221563,-0.16547656,0.7542502,0.77299315,-0.38319466,0.97899723,-0.8815602,0.15394527,-0.4650622,-0.31525636,-0.60387075,0.30460367,0.6624813,0.7556513,-0.6417035,0.30754423,0.39188126
b1c15,339,10,TRUE,random_sampling,2.9218211439528026,0.3481042882580834,2.0025015,3.4878998,0.04251024090461888,0.03817711837586977,0.001,0.08354500000034726,TRUE,717,G1,-0.12571244,-0.36952326,-0.78328496,0.98463184,0.5537678,-0.3898312,-0.9213177,0.7645526,0.5026458,0.6839379,0.1847165,0.98110765,0.235886,-0.577879,0.3995234,0.5872406,-0.51088256,0.8188555,0.6722555,-0.026734946,0.9903825,-0.9000383,0.35106522,-0.5685895,-0.07243607,0.10574229,0.24102119,0.5327389,0.78953844,-0.84560806,0.3116838,0.52012783
b1c16,350,10,TRUE,random_sampling,2.9288145097142855,0.34630813588396675,2.0015254,3.4842572,0.04190507142856921,0.03804522620433643,0.001,0.08353333333312829,TRUE,860,G1,0.13346985,-0.06678715,-0.8632868,0.9778246,0.36286247,0.53950757,-0.8823356,0.46137032,0.62732786,0.41023627,0.11293614,0.9742932,0.42123044,-0.15661152,0.7261691,0.686392,-0.35938036,0.83917016,0.84699017,-0.25434402,0.991896,-0.9238117,0.090176366,-0.28727263,-0.51521355,-0.6892469,0.27305332,0.63732475,0.7866556,-0.67291796,0.32242227,0.5126786
b1c17,335,10,TRUE,random_sampling,2.916482607761194,0.3485248373181054,2.0043163,3.4869137,0.04336092039800368,0.037941249742372805,0.001,0.08356333333358812,TRUE,855,G1,0.08677793,-0.56650823,-0.9210314,0.9888855,0.47198528,-0.48480415,-0.93209887,0.75033003,0.44228414,0.41684008,0.19970441,0.9869261,0.14021973,-0.5997845,0.007636649,0.5779242,-0.6548379,0.7965225,0.6406164,-0.5754687,0.9940884,-0.91649956,0.40411812,-0.66244453,-0.575831,-0.74247926,0.22193572,0.45446312,0.7898056,-0.86481047,0.31123182,0.48096448
b1c18,340,10,TRUE,random_sampling,2.910838837058823,0.34652942828225874,2.0094113,3.4788814,0.042346436274512574,0.037907801752372336,0.001,0.08358166666682365,TRUE,689,G1,-0.03328516,-0.27495676,-0.8721795,0.98532575,0.43187973,-0.02353337,-0.93018574,0.6409557,0.5498976,0.5153192,0.14366494,0.9833211,0.31579697,-0.3913669,0.4662313,0.64259595,-0.51704365,0.78435886,0.7542858,-0.4254252,0.9922188,-0.9114153,0.2097913,-0.44661677,-0.5275598,-0.83439875,0.26235044,0.5498106,0.8065538,-0.79457104,0.36209214,0.49350026
b1c19,332,10,TRUE,random_sampling,2.920165616566265,0.34858895737622714,2.0058336,3.4804659,0.04418410642569994,0.037738100479255174,0.001,0.0835533333331071,TRUE,786,G1,-0.34721965,0.2122215,-0.72818816,0.9408238,0.3172745,0.08900426,-0.8611187,0.53692216,0.71555424,0.60563105,0.15525894,0.9485175,0.5875334,0.005257106,0.5153924,0.49144062,-0.106540464,0.7295243,0.7976587,-0.3755375,0.9622591,-0.86132497,0.13816108,-0.44182795,-0.34386626,-0.75832003,0.38546157,0.6556754,0.7802559,-0.5919848,0.3000392,0.39475775
b1c2,332,10,TRUE,random_sampling,2.9361649873493976,0.3447065186023187,2.0060635,3.4839697,0.04413887550200697,0.03801045279715206,0.001,0.08353499999987513,TRUE,2235,G1,0.23231187,-0.62854296,-0.87299806,0.98958707,0.609191,-0.55218965,-0.9357091,0.87064004,0.34945583,0.5224685,0.23559855,0.985934,0.07467718,-0.72803205,0.25119478,0.52326214,-0.666865,0.8087478,0.5625986,0.15256743,0.995015,-0.9112662,0.5730257,-0.75881964,-0.20950478,0.35759348,0.16213097,0.43712407,0.75063497,-0.8990322,0.25264233,0.4760837
b1c20,348,10,TRUE,random_sampling,2.9227180396551726,0.3491649545239853,2.0047135,3.4783568,0.041447174329502665,0.03801754069642346,0.001,0.08357499999983986,TRUE,532,G1,-0.010298295,-0.032581747,-0.7694277,0.978408,0.5343062,0.38448372,-0.8689754,0.6734553,0.5270803,0.6054032,0.15423396,0.9711041,0.25752553,-0.37892643,0.7455253,0.6317319,-0.38825175,0.8719542,0.7918042,0.31353718,0.9911729,-0.9128948,0.21223089,-0.44981775,0.058171432,0.72040975,0.2232787,0.6137872,0.76043797,-0.78546816,0.23592308,0.5281828
b1c21,337,10,TRUE,random_sampling,2.9226272270029674,0.3523215910438712,2.000989,3.4890871,0.04329837784371416,0.03791591490876352,0.001,0.08356666666659329,TRUE,557,G1,-0.012448201,0.10876877,-0.7055754,0.9547436,0.39774296,0.5175897,-0.8504343,0.5220712,0.69243413,0.49853322,0.12522906,0.96358645,0.5062095,-0.12832116,0.7485232,0.5716961,-0.13400874,0.7931403,0.8262574,0.046274368,0.9836684,-0.9012573,0.10907097,-0.36540452,-0.15247853,-0.26294243,0.27155718,0.7025372,0.72251815,-0.5459647,0.2821882,0.4133627
b1c22,326,10,TRUE,random_sampling,2.921467853067485,0.35267421867613047,2.0006747,3.4706216,0.04479541922290353,0.037890594953793634,0.001,0.08360000000006007,TRUE,889,G1,-0.17757754,0.27815115,-0.54667807,0.9341221,0.47878885,0.30069143,-0.79466826,0.62629956,0.67587835,0.576501,0.15850252,0.9511224,0.43689683,-0.20877764,0.7183685,0.52857655,-0.092045605,0.76934224,0.77182037,0.4392306,0.97222716,-0.8838393,0.21533152,-0.48608756,0.23561664,0.3075038,0.2699122,0.6908917,0.7191645,-0.5808312,0.22821851,0.38770875
b1c23,342,10,TRUE,random_sampling,2.927403366666667,0.3457772740732969,2.0080781,3.4880013,0.042779688109162786,0.03813960237552802,0.001,0.08361166666630027,TRUE,1012,G1,0.19467445,-0.77958053,-0.9392393,0.99361,0.58932865,-0.66054404,-0.95289445,0.8808883,0.3109436,0.33258542,0.24790588,0.9899431,0.04746359,-0.8016927,-0.6939292,0.53091055,-0.7775478,0.7521773,0.47056577,-0.13263957,0.99656147,-0.91899604,0.671911,-0.789953,-0.5517006,-0.6529585,0.1619419,0.3173499,0.78506297,-0.9206429,0.3114887,0.5115129
